NAME,TEAM,POSITION,PASS_YARDS,PASS_TD,INTERCEPTIONS,RUSH_YARDS,RUSH_TD,REC_YARDS,REC_TD,FUM_TD,TWO_PT,FUM_LOST
Darren Fells,CLE,TE,0,0,0,0,0,177,3,0,0,0
Tyler Higbee,LA,TE,0,0,0,0,0,295,1,0,0,0
A.J. Derby,MIA,TE,0,0,0,0,0,244,2,0,0,1
Jordan Reed,WAS,TE,0,0,0,0,0,211,2,0,0,0
Adam Shaheen,CHI,TE,0,0,0,0,0,127,3,0,0,0
Demetrius Harris,KC,TE,0,0,0,0,0,224,1,0,0,0
Jonnu Smith,TEN,TE,0,0,0,0,0,157,2,0,0,0
Lance Kendricks,GB,TE,0,0,0,0,0,203,1,0,0,0
Jeff Heuerman,DEN,TE,0,0,0,0,0,142,2,0,0,0
Virgil Green,LAC,TE,0,0,0,0,0,191,1,0,0,0
Greg Olsen,CAR,TE,0,0,0,0,0,191,1,0,0,0
Vance McDonald,PIT,TE,0,0,0,0,0,188,1,0,0,0
Levine Toilolo,DET,TE,0,0,0,0,0,122,1,1,0,0
Dion Sims,CHI,TE,0,0,0,0,0,180,1,0,0,0
Ryan Griffin,HOU,TE,0,0,0,0,0,158,1,0,1,0
Nick Boyle,BAL,TE,0,0,0,0,0,203,0,0,1,0
Richard Rodgers,PHI,TE,0,0,0,0,0,160,1,0,0,0
James O'Shaughnessy,JAX,TE,0,0,0,0,0,149,1,0,0,0
Troy Niklas,NE,TE,0,0,0,0,0,132,1,0,0,0
Nick Vannett,SEA,TE,0,0,0,0,0,124,1,0,0,0
Eric Tomlinson,NYJ,TE,0,0,0,0,0,121,1,0,0,0
David Morgan,MIN,TE,0,0,0,0,0,95,1,0,0,0
C.J. Uzomah,CIN,TE,0,0,0,0,0,92,1,0,0,0
Dwayne Allen,NE,TE,0,0,0,0,0,86,1,0,0,0
Josh Hill,NO,TE,0,0,0,-8,0,125,1,0,0,2
Maxx Williams,BAL,TE,0,0,0,6,0,86,1,0,0,1
Daniel Brown,CHI,TE,0,0,0,0,0,129,0,0,0,0
Logan Thomas,BUF,TE,0,0,0,0,0,67,1,0,0,0
Michael Hoomanawanui,NO,TE,0,0,0,0,0,52,1,0,0,0
Trey Edmunds,NO,TE,0,0,0,48,1,0,0,0,0,0
Austin Traylor,DEN,TE,0,0,0,0,0,100,0,0,0,0
Phillip Supernaw,TEN,TE,0,0,0,0,0,39,1,0,0,0
Niles Paul,JAX,TE,0,0,0,4,0,94,0,0,0,0
Jerell Adams,NYG,TE,0,0,0,0,0,92,0,0,0,0
Xavier Grimble,PIT,TE,0,0,0,0,0,32,1,0,0,0
Luke Stocker,TEN,TE,0,0,0,0,0,30,1,0,0,0
Clive Walford,NYJ,TE,0,0,0,0,0,80,0,0,0,0
Lee Smith,OAK,TE,0,0,0,0,0,76,0,0,0,0
Ross Travis,IND,TE,0,0,0,0,0,76,0,0,0,0
Jeremy Sprinkle,WAS,TE,0,0,0,0,0,13,1,0,0,0
Derek Carrier,OAK,TE,0,0,0,0,0,71,0,0,0,0
Alan Cross,TB,TE,0,0,0,0,0,58,0,0,0,0
Ben Koyack,JAX,TE,0,0,0,0,0,38,0,0,1,0
Jacob Hollister,NE,TE,0,0,0,5,0,42,0,0,0,0
Tyler Eifert,CIN,TE,0,0,0,0,0,46,0,0,0,0
Sean McGrath,DET,TE,0,0,0,0,0,46,0,0,0,0
Michael Roberts,DET,TE,0,0,0,0,0,46,0,0,0,0
Blake Bell,MIN,TE,0,0,0,0,0,19,0,0,1,0
Will Tye,NE,TE,0,0,0,0,0,38,0,0,0,0
Randall Telfer,NFL,TE,0,0,0,0,0,36,0,0,0,0
Emanuel Byrd,GB,TE,0,0,0,0,0,31,0,0,0,0
Darrell Daniels,IND,TE,0,0,0,0,0,26,0,0,0,0
Antony Auclair,TB,TE,0,0,0,0,0,25,0,0,0,0
Geoff Swaim,DAL,TE,0,0,0,0,0,25,0,0,0,0
MarQueis Gray,MIA,TE,0,0,0,14,0,10,0,0,0,0
Ryan Hewitt,CIN,TE,0,0,0,0,0,22,0,0,0,0
Chris Manhertz,CAR,TE,0,0,0,0,0,17,0,0,0,0
Cole Hikutini,SF,TE,0,0,0,0,0,15,0,0,0,0
Garrett Griffin,NO,TE,0,0,0,0,0,4,0,0,0,0
Jordan Akins,HOU,TE,0,0,0,0,0,0,0,0,0,0
Mo Alie-Cox,IND,TE,0,0,0,0,0,0,0,0,0,0
Julian Allen,CLE,TE,0,0,0,0,0,0,0,0,0,0
Jace Amaro,KC,TE,0,0,0,0,0,0,0,0,0,0
Mark Andrews,BAL,TE,0,0,0,0,0,0,0,0,0,0
Brandon Barnes,DET,TE,0,0,0,0,0,0,0,0,0,0
Gary Barnidge,NFL,TE,0,0,0,0,0,0,0,0,0,0
Marcus Baugh,OAK,TE,0,0,0,0,0,0,0,0,0,0
Evan Baylis,CAR,TE,0,0,0,0,0,0,0,0,0,0
Alec Bloom,ARI,TE,0,0,0,0,0,0,0,0,0,0
Braedon Bowman,LAC,TE,0,0,0,0,0,0,0,0,0,0
Ben Braunecker,CHI,TE,0,0,0,0,0,0,0,0,0,0
Billy Brown,PHI,TE,0,0,0,0,0,0,0,0,0,0
Pharaoh Brown,OAK,TE,0,0,0,0,0,0,0,0,0,0
Paul Butler,OAK,TE,0,0,0,0,0,0,0,0,0,0
Jake Butt,DEN,TE,0,0,0,0,0,0,0,0,0,0
Devon Cajuste,CLE,TE,0,0,0,0,0,0,0,0,0,0
Kyle Carter,NYG,TE,0,0,0,0,0,0,0,0,0,0
Asante Cleveland,NFL,TE,0,0,0,0,0,0,0,0,0,0
Tyler Conklin,MIN,TE,0,0,0,0,0,0,0,0,0,0
Jason Croom,BUF,TE,0,0,0,0,0,0,0,0,0,0
Sean Culkin,LAC,TE,0,0,0,0,0,0,0,0,0,0
Will Dissly,SEA,TE,0,0,0,0,0,0,0,0,0,0
Thomas Duarte,MIA,TE,0,0,0,0,0,0,0,0,0,0
Ross Dwelley,SF,TE,0,0,0,0,0,0,0,0,0,0
Donnie Ernsberger,TB,TE,0,0,0,0,0,0,0,0,0,0
Gavin Escobar,MIA,TE,0,0,0,0,0,0,0,0,0,0
Matt Flanagan,WAS,TE,0,0,0,0,0,0,0,0,0,0
Jordan Franks,CIN,TE,0,0,0,0,0,0,0,0,0,0
Troy Fumagalli,DEN,TE,0,0,0,0,0,0,0,0,0,0
Manasseh Garner,WAS,TE,0,0,0,0,0,0,0,0,0,0
Rico Gathers,DAL,TE,0,0,0,0,0,0,0,0,0,0
Mike Gesicki,MIA,TE,0,0,0,0,0,0,0,0,0,0
Dallas Goedert,PHI,TE,0,0,0,0,0,0,0,0,0,0
DeAndre Goolsby,NFL,TE,0,0,0,0,0,0,0,0,0,0
Alex Gray,ATL,TE,0,0,0,0,0,0,0,0,0,0
Brandon Greene,CHI,TE,0,0,0,0,0,0,0,0,0,0
David Grinnage,JAX,TE,0,0,0,0,0,0,0,0,0,0
Clark Harris,CIN,TE,0,0,0,0,0,0,0,0,0,0
Temarrick Hemingway,LA,TE,0,0,0,0,0,0,0,0,0,0
Chris Herndon,NYJ,TE,0,0,0,0,0,0,0,0,0,0
Bucky Hodges,NYJ,TE,0,0,0,0,0,0,0,0,0,0
Gabe Holmes,ARI,TE,0,0,0,0,0,0,0,0,0,0
Tyler Hoppes,MIN,TE,0,0,0,0,0,0,0,0,0,0
Tanner Hudson,TB,TE,0,0,0,0,0,0,0,0,0,0
Cole Hunt,LAC,TE,0,0,0,0,0,0,0,0,0,0
Hayden Hurst,BAL,TE,0,0,0,0,0,0,0,0,0,0
Ryan Izzo,NE,TE,0,0,0,0,0,0,0,0,0,0
Blake Jarwin,DAL,TE,0,0,0,0,0,0,0,0,0,0
Ben Johnson,LAC,TE,0,0,0,0,0,0,0,0,0,0
Nick Keizer,BAL,TE,0,0,0,0,0,0,0,0,0,0
Henry Krieger-Coble,LA,TE,0,0,0,0,0,0,0,0,0,0
Matt LaCosse,DEN,TE,0,0,0,0,0,0,0,0,0,0
Khari Lee,BUF,TE,0,0,0,0,0,0,0,0,0,0
Jordan Leggett,NYJ,TE,0,0,0,0,0,0,0,0,0,0
Matt Lengel,HOU,TE,0,0,0,0,0,0,0,0,0,0
Blake Mack,KC,TE,0,0,0,0,0,0,0,0,0,0
Troy Mangen,ATL,TE,0,0,0,0,0,0,0,0,0,0
Jake McGee,PIT,TE,0,0,0,0,0,0,0,0,0,0
Pharoah McKever,PIT,TE,0,0,0,0,0,0,0,0,0,0
Johnny Mundt,LA,TE,0,0,0,0,0,0,0,0,0,0
Ryan O'Malley,NYG,TE,0,0,0,0,0,0,0,0,0,0
Scott Orndoff,JAX,TE,0,0,0,0,0,0,0,0,0,0
Brian Parker,DEN,TE,0,0,0,0,0,0,0,0,0,0
Logan Paulsen,ATL,TE,0,0,0,0,0,0,0,0,0,0
Josh Perkins,PHI,TE,0,0,0,0,0,0,0,0,0,0
John Phillips,NFL,TE,0,0,0,0,0,0,0,0,0,0
Josiah Price,MIN,TE,0,0,0,0,0,0,0,0,0,0
MyCole Pruitt,HOU,TE,0,0,0,0,0,0,0,0,0,0
Kevin Rader,GB,TE,0,0,0,0,0,0,0,0,0,0
Jason Reese,TB,TE,0,0,0,0,0,0,0,0,0,0
Jevoni Robinson,HOU,TE,0,0,0,0,0,0,0,0,0,0
Jake Roh,NFL,TE,0,0,0,0,0,0,0,0,0,0
Jaylen Samuels,PIT,TE,0,0,0,0,0,0,0,0,0,0
Beau Sandland,ARI,TE,0,0,0,0,0,0,0,0,0,0
Eric Saubert,ATL,TE,0,0,0,0,0,0,0,0,0,0
Mason Schreck,CIN,TE,0,0,0,0,0,0,0,0,0,0
Dalton Schultz,DAL,TE,0,0,0,0,0,0,0,0,0,0
Christian Scotland-Williamson,PIT,TE,0,0,0,0,0,0,0,0,0,0
Tim Semisch,TEN,TE,0,0,0,0,0,0,0,0,0,0
Ryan Smith,GB,TE,0,0,0,0,0,0,0,0,0,0
Durham Smythe,MIA,TE,0,0,0,0,0,0,0,0,0,0
Erik Swoope,IND,TE,0,0,0,0,0,0,0,0,0,0
Tyrone Swoopes,SEA,TE,0,0,0,0,0,0,0,0,0,0
Ian Thomas,CAR,TE,0,0,0,0,0,0,0,0,0,0
Jordan Thomas,HOU,TE,0,0,0,0,0,0,0,0,0,0
Colin Thompson,CHI,TE,0,0,0,0,0,0,0,0,0,0
Keith Towbridge,BUF,TE,0,0,0,0,0,0,0,0,0,0
Hakeem Valles,DET,TE,0,0,0,0,0,0,0,0,0,0
Andrew Vollert,ARI,TE,0,0,0,0,0,0,0,0,0,0
David Wells,DAL,TE,0,0,0,0,0,0,0,0,0,0
Cole Wick,SF,TE,0,0,0,0,0,0,0,0,0,0
Bryce Williams,ARI,TE,0,0,0,0,0,0,0,0,0,0
Shane Wimann,NE,TE,0,0,0,0,0,0,0,0,0,0
Ethan Wolf,TEN,TE,0,0,0,0,0,0,0,0,0,0
Nate Wozniak,NO,TE,0,0,0,0,0,0,0,0,0,0
Timothy Wright,KC,TE,0,0,0,0,0,0,0,0,0,0
Deon Yelder,NO,TE,0,0,0,0,0,0,0,0,0,0
Adam Zaruba,PHI,TE,0,0,0,0,0,0,0,0,0,0
Garrett Dickerson,NYG,TE,0,0,0,0,0,0,0,0,0,0
DeAndre Hopkins,HOU,WR,0,0,0,0,0,1378,13,0,0,1
Antonio Brown,PIT,WR,0,0,0,0,0,1533,9,0,1,0
Keenan Allen,LAC,WR,0,0,0,9,0,1393,6,1,0,0
Tyreek Hill,KC,WR,0,0,1,59,0,1183,7,0,0,0
Marvin Jones,DET,WR,0,0,0,0,0,1101,9,0,0,0
Julio Jones,ATL,WR,0,0,0,15,0,1444,3,0,0,0
Brandin Cooks,LA,WR,0,0,0,40,0,1082,7,0,1,0
Michael Thomas,NO,WR,0,0,0,0,0,1245,5,0,0,0
Larry Fitzgerald,ARI,WR,21,0,0,0,0,1156,6,0,1,1
A.J. Green,CIN,WR,0,0,0,0,0,1078,8,0,0,2
Adam Thielen,MIN,WR,0,0,0,11,0,1276,4,0,0,2
Davante Adams,GB,WR,0,0,0,0,0,885,10,0,0,0
Doug Baldwin,SEA,WR,0,0,0,-8,0,991,8,0,1,0
Jarvis Landry,CLE,WR,0,0,0,-7,0,987,9,0,0,2
Alshon Jeffery,PHI,WR,0,0,0,0,0,789,9,0,3,0
Robby Anderson,NYJ,WR,0,0,0,9,0,941,7,0,0,0
Stefon Diggs,MIN,WR,0,0,0,13,0,849,8,0,0,0
JuJu Smith-Schuster,PIT,WR,0,0,0,0,0,917,7,0,0,0
Golden Tate,DET,WR,0,0,0,22,0,1003,5,0,1,1
Mike Evans,TB,WR,0,0,0,0,0,1001,5,0,1,0
Devin Funchess,CAR,WR,0,0,0,0,0,840,8,0,0,0
Nelson Agholor,PHI,WR,0,0,0,7,0,768,8,1,0,0
Demaryius Thomas,DEN,WR,0,0,0,0,0,949,5,0,0,1
T.Y. Hilton,IND,WR,0,0,0,0,0,966,4,0,0,1
Dez Bryant,NFL,WR,0,0,0,-4,0,838,6,0,0,1
Kenny Stills,MIA,WR,0,0,0,0,0,847,6,0,0,2
Cooper Kupp,LA,WR,0,0,0,0,0,869,5,0,0,1
Michael Crabtree,BAL,WR,0,0,0,0,0,618,8,0,2,0
Marquise Goodwin,SF,WR,0,0,0,44,0,962,2,0,0,0
Jermaine Kearse,NYJ,WR,0,0,0,0,0,810,5,0,0,0
Amari Cooper,OAK,WR,0,0,0,4,0,680,7,0,0,0
Mohamed Sanu,ATL,WR,51,1,0,10,0,703,5,0,0,0
Sammy Watkins,KC,WR,0,0,0,0,0,593,8,0,0,0
Robert Woods,LA,WR,0,0,0,12,0,781,5,0,0,1
Ted Ginn,NO,WR,0,0,0,39,0,787,4,0,0,0
Paul Richardson,WAS,WR,0,0,0,0,0,703,6,0,0,0
Rishard Matthews,TEN,WR,0,0,0,-3,0,795,4,0,0,0
Mike Wallace,PHI,WR,0,0,0,4,0,748,4,0,0,0
Tyrell Williams,LAC,WR,0,0,0,0,0,728,4,0,0,1
Jamison Crowder,WAS,WR,0,0,0,34,0,789,3,0,0,3
Randall Cobb,GB,WR,10,0,0,17,0,653,4,0,1,0
Marqise Lee,JAX,WR,0,0,0,17,0,702,3,0,1,0
Keelan Cole,JAX,WR,0,0,0,0,0,748,3,0,0,1
Travis Benjamin,LAC,WR,0,0,0,96,0,567,4,0,0,0
DeSean Jackson,TB,WR,0,0,0,38,0,668,3,0,0,0
Kelvin Benjamin,BUF,WR,0,0,0,0,0,692,3,0,0,0
Sterling Shepard,NYG,WR,0,0,0,4,0,731,2,0,0,0
Will Fuller,HOU,WR,0,0,0,9,0,423,7,0,0,0
Josh Doctson,WAS,WR,0,0,0,-14,0,502,6,0,0,0
Jordy Nelson,OAK,WR,0,0,0,0,0,482,6,0,0,0
Martavis Bryant,OAK,WR,0,0,0,22,0,603,3,0,1,0
Ryan Grant,IND,WR,0,0,0,0,0,573,4,0,0,0
Danny Amendola,MIA,WR,0,0,0,0,0,659,2,0,0,0
Chris Hogan,NE,WR,0,0,0,17,0,439,5,0,0,0
Albert Wilson,MIA,WR,0,0,0,6,0,554,3,0,0,0
Tyler Lockett,SEA,WR,0,0,0,58,0,555,2,0,0,0
DeVante Parker,MIA,WR,0,0,0,0,0,670,1,0,0,0
Brandon LaFell,CIN,WR,0,0,0,0,0,548,3,0,0,0
Jaron Brown,SEA,WR,0,0,0,0,0,477,4,0,0,0
Adam Humphries,TB,WR,0,0,0,6,0,631,1,0,0,1
Emmanuel Sanders,DEN,WR,0,0,0,0,0,555,2,0,0,0
Kendall Wright,MIN,WR,0,0,0,0,0,614,1,0,0,0
Deonte Thompson,DAL,WR,0,0,0,-5,0,555,2,0,0,0
Kenny Golladay,DET,WR,0,0,0,9,0,477,3,0,0,0
J.J. Nelson,ARI,WR,0,0,0,37,0,508,2,0,0,1
J.D. McKissic,SEA,WR,0,0,0,187,1,266,2,0,0,0
Eric Decker,NFL,WR,0,0,0,0,0,563,1,0,0,0
Jeremy Maclin,NFL,WR,0,0,0,0,0,440,3,0,0,0
Allen Hurns,DAL,WR,0,0,0,0,0,484,2,0,0,0
Chris Godwin,TB,WR,0,0,0,0,0,525,1,0,0,0
Terrance Williams,DAL,WR,0,0,0,15,0,568,0,0,0,0
Cole Beasley,DAL,WR,0,0,0,0,0,314,4,0,0,0
Cordarrelle Patterson,NE,WR,0,0,0,121,2,309,0,0,0,0
Torrey Smith,CAR,WR,0,0,0,-3,0,430,2,0,0,0
Roger Lewis,NYG,WR,0,0,0,0,0,416,2,0,0,0
Bennie Fowler,CHI,WR,0,0,0,0,0,350,3,0,0,0
Trent Taylor,SF,WR,0,0,0,0,0,430,2,0,0,1
Donte Moncrief,JAX,WR,0,0,0,0,0,391,2,0,0,0
Brandon Coleman,NO,WR,0,0,0,0,0,364,3,0,0,2
Pierre Garcon,SF,WR,0,0,0,0,0,500,0,0,0,0
Brice Butler,ARI,WR,0,0,0,0,0,317,3,0,0,0
Odell Beckham,NYG,WR,0,0,0,8,0,302,3,0,0,0
John Brown,BAL,WR,0,0,0,10,0,299,3,0,0,0
Taylor Gabriel,CHI,WR,0,0,0,49,0,378,1,0,0,0
T.J. Jones,DET,WR,0,0,0,0,0,399,1,0,1,0
Chris Moore,BAL,WR,0,0,0,-9,0,248,3,1,0,0
Seth Roberts,OAK,WR,0,0,0,0,0,455,1,0,0,2
Bruce Ellington,HOU,WR,0,0,0,17,0,330,2,0,0,0
Josh Bellamy,CHI,WR,0,0,0,6,0,376,1,0,0,0
Zay Jones,BUF,WR,0,0,0,0,0,316,2,0,0,0
Seth DeValve,CLE,WR,0,0,0,0,0,395,1,0,0,1
Cody Latimer,NYG,WR,0,0,0,0,0,287,2,0,1,0
Corey Coleman,CLE,WR,0,0,0,0,0,305,2,0,0,0
Tavarres King,MIN,WR,0,0,0,3,0,240,3,0,0,0
Rashard Higgins,CLE,WR,0,0,0,4,0,312,2,0,0,1
Dontrelle Inman,NFL,WR,0,0,0,0,0,343,1,0,0,0
Justin Hardy,ATL,WR,0,0,0,0,0,221,3,0,0,0
Dede Westbrook,JAX,WR,0,0,0,0,0,339,1,0,0,0
Josh Gordon,CLE,WR,0,0,0,0,0,335,1,0,0,0
Aldrick Robinson,SF,WR,0,0,0,0,0,260,2,0,0,0
Kenny Britt,NE,WR,0,0,0,0,0,256,2,0,0,0
Johnny Holton,OAK,WR,0,0,0,0,0,218,3,0,0,2
Ricardo Louis,CLE,WR,0,0,0,0,0,357,0,0,0,0
Corey Davis,TEN,WR,0,0,0,0,0,375,0,0,0,1
Chester Rogers,IND,WR,0,0,0,8,0,284,1,0,0,0
Tyler Boyd,CIN,WR,0,0,0,0,0,225,2,0,0,0
Taywan Taylor,TEN,WR,0,0,0,43,0,231,1,0,0,0
Jordan Matthews,NE,WR,0,0,0,0,0,282,1,0,0,1
Jarius Wright,CAR,WR,0,0,0,0,0,198,2,0,0,0
Jakeem Grant,MIA,WR,0,0,0,12,0,203,2,0,0,1
Andre Holmes,BUF,WR,0,0,0,0,0,120,3,0,0,0
Terrelle Pryor,NYJ,WR,0,0,0,0,0,240,1,0,0,0
Tavon Austin,DAL,WR,0,0,0,270,1,47,0,0,0,4
Mack Hollins,PHI,WR,0,0,0,0,0,226,1,0,0,0
Russell Shepard,NYG,WR,0,0,0,19,0,202,1,0,0,0
Michael Campanaro,TEN,WR,0,0,0,42,0,173,1,0,0,0
Kendrick Bourne,SF,WR,0,0,0,0,0,257,0,0,0,0
Damiere Byrd,CAR,WR,0,0,0,12,0,105,2,0,0,0
Jeremy Kerley,BUF,WR,0,0,0,0,0,217,1,0,0,2
Alex Erickson,CIN,WR,0,0,0,16,0,180,1,0,0,1
Geronimo Allison,GB,WR,0,0,0,0,0,253,0,0,0,1
Braxton Miller,HOU,WR,0,0,0,1,0,162,1,0,0,0
Demarcus Robinson,KC,WR,0,0,0,0,0,212,0,0,0,0
Phillip Dorsett,NE,WR,0,0,0,7,0,194,0,0,0,0
Laquon Treadwell,MIN,WR,0,0,0,0,0,200,0,0,0,0
Eli Rogers,NFL,WR,0,0,0,0,0,149,1,0,0,1
Louis Murphy,NFL,WR,0,0,0,0,0,121,1,0,0,0
Curtis Samuel,CAR,WR,0,0,0,64,0,115,0,0,0,0
Chris Conley,KC,WR,0,0,0,0,0,175,0,0,0,0
Tommylee Lewis,NO,WR,0,0,0,14,0,116,1,0,0,1
Josh Reynolds,LA,WR,0,0,0,0,0,104,1,0,0,0
Jaydon Mickens,JAX,WR,0,0,0,0,0,77,2,0,0,2
Brandon Marshall,SEA,WR,0,0,0,0,0,154,0,0,0,0
D.J. Foster,ARI,WR,0,0,0,19,0,133,0,0,0,0
Tre McBride,NYJ,WR,0,0,0,0,0,144,0,0,0,0
Jordan Taylor,DEN,WR,0,0,0,0,0,142,0,0,0,0
Darrius Heyward-Bey,PIT,WR,0,0,0,32,1,47,0,0,0,0
Josh Malone,CIN,WR,0,0,0,2,0,63,1,0,0,0
Maurice Harris,WAS,WR,0,0,0,0,0,62,1,0,0,0
Marvin Hall,ATL,WR,0,0,0,0,0,60,1,0,0,0
Hunter Sharp,NYG,WR,0,0,0,0,0,54,1,0,0,0
ArDarius Stewart,NYJ,WR,0,0,0,27,0,82,0,0,0,0
Travis Rudolph,NYG,WR,0,0,0,0,0,101,0,0,0,0
Freddie Martino,TB,WR,0,0,0,0,0,96,0,0,0,0
Mike Williams,LAC,WR,0,0,0,0,0,95,0,0,0,0
Chad Hansen,NYJ,WR,0,0,0,0,0,94,0,0,0,0
Mike Thomas,LA,WR,0,0,0,0,0,93,0,0,0,0
Kaelin Clay,BUF,WR,0,0,0,27,0,85,0,0,0,1
Bobo Wilson,TB,WR,0,0,0,8,0,18,1,0,0,0
Chris Thompson,HOU,WR,0,0,0,0,0,84,0,0,0,0
Trevor Davis,GB,WR,0,0,0,13,0,70,0,0,0,0
Justin Hunter,PIT,WR,0,0,0,0,0,23,1,0,0,0
Neal Sterling,NYJ,WR,0,0,0,0,0,82,0,0,0,0
Michael Floyd,NFL,WR,0,0,0,0,0,78,0,0,0,0
Breshad Perriman,BAL,WR,0,0,0,0,0,77,0,0,0,0
Brian Quick,WAS,WR,0,0,0,0,0,76,0,0,0,0
Tanner McEvoy,SEA,WR,0,0,1,0,0,113,0,0,0,1
Willie Snead,BAL,WR,0,0,0,0,0,92,0,0,0,1
Amara Darboh,SEA,WR,0,0,0,0,0,71,0,0,0,0
Sammie Coates,HOU,WR,0,0,0,0,0,70,0,0,0,0
Pharoh Cooper,LA,WR,0,0,0,6,0,84,0,0,0,1
Leonte Carroo,MIA,WR,0,0,0,0,0,69,0,0,0,0
Byron Marshall,WAS,WR,0,0,0,32,0,36,0,0,0,0
Bryce Treggs,PHI,WR,0,0,0,6,0,79,0,0,0,1
Chad Williams,ARI,WR,0,0,0,33,0,31,0,0,0,0
Vince Mayle,BAL,WR,0,0,0,2,1,0,0,0,0,0
Markus Wheaton,PHI,WR,0,0,0,0,0,51,0,0,0,0
Michael Clark,GB,WR,0,0,0,0,0,41,0,0,0,0
Quan Bray,BUF,WR,0,0,0,0,0,39,0,0,0,0
Tanner Gentry,CHI,WR,0,0,0,0,0,35,0,0,0,0
Noah Brown,DAL,WR,0,0,0,0,0,33,0,0,0,0
Jordan Leslie,DEN,WR,0,0,0,0,0,26,0,0,0,0
Ryan Switzer,OAK,WR,0,0,0,5,0,41,0,0,0,1
Marcus Johnson,SEA,WR,0,0,0,0,0,45,0,0,0,1
DeAndrew White,HOU,WR,0,0,0,0,0,24,0,0,0,0
Griff Whalen,OAK,WR,0,0,0,0,0,23,0,0,0,0
Jehu Chesson,KC,WR,0,0,0,0,0,18,0,0,0,0
Allen Robinson,CHI,WR,0,0,0,0,0,17,0,0,0,0
Arrelious Benn,NFL,WR,0,0,0,0,0,12,0,0,0,0
Jeff Janis,CLE,WR,0,0,0,0,0,12,0,0,0,0
Shelton Gibson,PHI,WR,0,0,0,0,0,11,0,0,0,0
Cobi Hamilton,NFL,WR,0,0,0,0,0,8,0,0,0,0
Kevin White,CHI,WR,0,0,0,0,0,6,0,0,0,0
Max McCaffrey,SF,WR,0,0,0,0,0,4,0,0,0,0
Charone Peake,NYJ,WR,0,0,0,0,0,3,0,0,0,0
Jaelon Acklin,BAL,WR,0,0,0,0,0,0,0,0,0,0
Quincy Adeboyejo,BAL,WR,0,0,0,0,0,0,0,0,0,0
Carlton Agudosi,ARI,WR,0,0,0,0,0,0,0,0,0,0
Dres Anderson,IND,WR,0,0,0,0,0,0,0,0,0,0
Dan Arnold,NO,WR,0,0,0,0,0,0,0,0,0,0
Marcell Ateman,OAK,WR,0,0,0,0,0,0,0,0,0,0
DeMarcus Ayers,CHI,WR,0,0,0,0,0,0,0,0,0,0
Jeff Badet,MIN,WR,0,0,0,0,0,0,0,0,0,0
Rasheed Bailey,CAR,WR,0,0,0,0,0,0,0,0,0,0
Sergio Bailey,TB,WR,0,0,0,0,0,0,0,0,0,0
Chad Beebe,MIN,WR,0,0,0,0,0,0,0,0,0,0
Kenny Bell,DEN,WR,0,0,0,0,0,0,0,0,0,0
Braxton Berrios,NE,WR,0,0,0,0,0,0,0,0,0,0
Evan Berry,CLE,WR,0,0,0,0,0,0,0,0,0,0
Jace Billingsley,DET,WR,0,0,0,0,0,0,0,0,0,0
Saeed Blacknall,OAK,WR,0,0,0,0,0,0,0,0,0,0
Christian Blake,ATL,WR,0,0,0,0,0,0,0,0,0,0
C.J. Board,CLE,WR,0,0,0,0,0,0,0,0,0,0
Victor Bolden,SF,WR,0,0,0,0,0,0,0,0,0,0
Daniel Braverman,KC,WR,0,0,0,0,0,0,0,0,0,0
K.J. Brent,IND,WR,0,0,0,0,0,0,0,0,0,0
Corey Brown,NFL,WR,0,0,0,0,0,0,0,0,0,0
Fred Brown,LA,WR,0,0,0,0,0,0,0,0,0,0
Marlon Brown,CHI,WR,0,0,0,0,0,0,0,0,0,0
Marquis Bundy,NYG,WR,0,0,0,0,0,0,0,0,0,0
Aaron Burbridge,SF,WR,0,0,0,0,0,0,0,0,0,0
Deontay Burnett,TEN,WR,0,0,0,0,0,0,0,0,0,0
Isaiah Burse,NFL,WR,0,0,0,0,0,0,0,0,0,0
Deante Burton,ATL,WR,0,0,0,0,0,0,0,0,0,0
Dontez Byrd,ATL,WR,0,0,0,0,0,0,0,0,0,0
Deon Cain,IND,WR,0,0,0,0,0,0,0,0,0,0
Antonio Callaway,CLE,WR,0,0,0,0,0,0,0,0,0,0
KD Cannon,DAL,WR,0,0,0,0,0,0,0,0,0,0
Dylan Cantrell,LAC,WR,0,0,0,0,0,0,0,0,0,0
Austin Carr,NO,WR,0,0,0,0,0,0,0,0,0,0
DeAndre Carter,NFL,WR,0,0,0,0,0,0,0,0,0,0
D.J. Chark,JAX,WR,0,0,0,0,0,0,0,0,0,0
Detrich Clark,NFL,WR,0,0,0,0,0,0,0,0,0,0
Simmie Cobbs,WAS,WR,0,0,0,0,0,0,0,0,0,0
Stacy Coley,MIN,WR,0,0,0,0,0,0,0,0,0,0
Cody Core,CIN,WR,0,0,0,0,0,0,0,0,0,0
Keke Coutee,HOU,WR,0,0,0,0,0,0,0,0,0,0
River Cracraft,DEN,WR,0,0,0,0,0,0,0,0,0,0
Montay Crockett,JAX,WR,0,0,0,0,0,0,0,0,0,0
Geremy Davis,LAC,WR,0,0,0,0,0,0,0,0,0,0
Jawill Davis,NYG,WR,0,0,0,0,0,0,0,0,0,0
Rashard Davis,PHI,WR,0,0,0,0,0,0,0,0,0,0
Reggie Davis,ATL,WR,0,0,0,0,0,0,0,0,0,0
Robert Davis,WAS,WR,0,0,0,0,0,0,0,0,0,0
